service_id,date,exception_type
6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,20260402,2
0c6aa415-c604-4695-a81a-6313d210d855_25a7beb6-8981-490d-92d6-3b45c306e81a,20260402,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_25a7beb6-8981-490d-92d6-3b45c306e81a,20260403,2
0c6aa415-c604-4695-a81a-6313d210d855_25a7beb6-8981-490d-92d6-3b45c306e81a,20260403,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_25a7beb6-8981-490d-92d6-3b45c306e81a,20260501,2
0c6aa415-c604-4695-a81a-6313d210d855_25a7beb6-8981-490d-92d6-3b45c306e81a,20260501,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,20260604,2
0c6aa415-c604-4695-a81a-6313d210d855_25a7beb6-8981-490d-92d6-3b45c306e81a,20260604,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,20261012,2
0c6aa415-c604-4695-a81a-6313d210d855_25a7beb6-8981-490d-92d6-3b45c306e81a,20261012,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,20261102,2
0c6aa415-c604-4695-a81a-6313d210d855_25a7beb6-8981-490d-92d6-3b45c306e81a,20261102,1

