route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,direction_id,wheelchair_accessible,bikes_allowed
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_1,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_1,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_2,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_2,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_3,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_3,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_4,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_4,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_5,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_5,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_6,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_6,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_7,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_7,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_8,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_8,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_9,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_9,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_10,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_10,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_11,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_11,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_12,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_12,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_13,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_13,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_14,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_14,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_15,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_15,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_16,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_16,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_17,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_17,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_18,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_18,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_19,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_19,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_20,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_20,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_21,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_21,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_22,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_22,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_23,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_23,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_24,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_24,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_25,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_25,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_26,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_26,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_27,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_27,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_28,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_29,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_28,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_30,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_29,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_31,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_30,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_32,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_31,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_33,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_32,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_34,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_33,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_35,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_34,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_36,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_35,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_37,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_36,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_38,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_37,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_39,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_38,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_40,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_39,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_41,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_40,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_42,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_41,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_43,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_42,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_44,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_43,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_45,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_44,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_46,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_45,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_47,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_46,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_48,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_47,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_49,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_48,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_50,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_49,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_51,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_50,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_52,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_51,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_53,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_52,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_54,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_53,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_55,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_54,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_56,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_57,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_55,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_58,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_56,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_59,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_57,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_60,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_58,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_61,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_59,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_62,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_60,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_63,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_61,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_64,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_62,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_65,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_63,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_66,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_64,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_67,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_65,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_68,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_66,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_69,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_67,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_70,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_68,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_71,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_69,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_72,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_70,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_73,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_71,Armilla,,1,0,1,1
L1,L1AnnoNuevo311,VUELTAL1AnnoNuevo311_74,Albolote,,2,1,1,1
L1,L1AnnoNuevo311,IDAL1AnnoNuevo311_72,Armilla,,1,0,1,1
